Surname,Count,Rank,Rate,USRank,USTotal,Source
#Last name / Surname,Number of occurrences among people self-identifying as Asian & Pacific Islander,Surname rank among Asians & Pacific Islanders,% of people with surname self-identifying as 'Asian & Pacific Islander',U.S. Rank,U.S. total occurrences,https://names.mongabay.com/data/asian_pacific_islander.html Derived from US Census Data
PASCUA,2542,389,75.40%,8926,3370,
VERMA,2541,390,88.30%,10266,2877,
KOH,2539,391,87.80%,10226,2893,
MANUEL,2529,392,10.40%,1337,24227,
VELASCO,2529,392,10.90%,1411,23114,
YAU,2523,394,93.90%,10881,2686,
MAR,2510,395,58.00%,7120,4327,
FERNANDO,2497,396,58.10%,7161,4298,
WHITE,2494,397,0.40%,20,639515,
TENG,2487,398,93.60%,10984,2657,
HOSSAIN,2478,399,84.50%,10118,2932,
SHETH,2476,400,86.80%,10350,2851,
DEJESUS,2465,401,7.80%,1002,31803,
SHEIKH,2464,402,66.20%,8200,3724,
LOO,2459,403,76.00%,9263,3237,
KAM,2457,404,73.20%,8954,3358,
DEVERA,2457,404,75.90%,9257,3239,
DING,2456,406,90.50%,10794,2713,
HASAN,2451,407,40.40%,5272,6074,
TRIEU,2445,408,93.60%,11138,2613,
ANGELES,2440,409,27.50%,3676,8873,
DAI,2434,410,92.30%,11060,2636,
DAVE,2426,411,60.40%,7630,4016,
YAMAGUCHI,2425,412,84.30%,10273,2875,
JIMENEZ,2409,413,1.50%,147,157475,
KUNG,2406,414,88.20%,10740,2727,
FERRER,2396,415,18.40%,2556,13010,
ANTONIO,2387,416,23.20%,3200,10267,
CHUANG,2369,417,95.60%,11621,2478,
JOSE,2359,418,31.90%,4435,7389,
BANG,2355,419,59.20%,7715,3977,
GREWAL,2348,420,87.40%,10876,2687,
ESPIRITU,2344,421,70.80%,9077,3310,
MURAKAMI,2344,421,83.20%,10460,2817,
SIDHU,2341,423,83.00%,10450,2821,
SALVADOR,2338,424,26.50%,3694,8827,
ENRIQUEZ,2325,425,7.80%,1072,29886,
MAHMOOD,2310,426,65.50%,8594,3525,
OU,2308,427,95.30%,11844,2422,
ARORA,2305,428,87.30%,11044,2640,
AGARWAL,2304,429,92.00%,11523,2504,
SILVA,2296,430,1.80%,214,126164,
SAKAMOTO,2296,430,82.30%,10548,2790,
LEWIS,2295,432,0.50%,26,509930,
NI,2289,433,94.70%,11859,2418,
SAMUEL,2280,434,11.90%,1711,19225,
SZETO,2280,434,94.00%,11827,2426,
HALL,2273,436,0.50%,30,473568,
GONZALEZ,2271,437,0.40%,23,597718,
LAY,2267,438,12.60%,1832,17979,
UDDIN,2265,439,76.90%,10093,2944,
TRIVEDI,2265,439,92.70%,11737,2444,
HASHIMOTO,2261,441,83.60%,10811,2706,
SHIMIZU,2257,442,84.80%,10976,2660,
CLARK,2248,443,0.40%,25,548369,
UY,2241,444,91.10%,11680,2461,
FUJIMOTO,2236,445,83.50%,10907,2678,
HAM,2235,446,14.10%,2103,15843,
MARQUEZ,2231,447,2.80%,357,79951,
HASSAN,2228,448,18.60%,2762,11993,
WENG,2228,448,83.80%,10982,2658,
CHAI,2227,450,85.20%,11132,2615,
GUERRERO,2222,451,2.40%,291,94152,
IKEDA,2211,452,85.20%,11200,2595,
KAN,2200,453,81.30%,10816,2705,
AGUILAR,2199,454,1.70%,213,126399,
GIANG,2196,455,96.10%,12458,2285,
ASUNCION,2193,456,71.40%,9700,3073,
AGUSTIN,2191,457,55.10%,7711,3979,
SRINIVASAN,2191,457,92.80%,12112,2361,
EVANGELISTA,2186,459,31.80%,4720,6871,
MARIANO,2181,460,30.70%,4576,7111,
SY,2178,461,78.10%,10566,2787,
MISTRY,2176,462,88.20%,11653,2466,
CORTEZ,2162,463,2.80%,367,77492,
INOUYE,2161,464,78.60%,10672,2751,
HENG,2154,465,75.00%,10281,2873,
ANCHETA,2151,466,72.10%,9973,2985,
KEO,2146,467,85.40%,11496,2512,
HARRIS,2137,468,0.40%,24,593542,
NISHIMURA,2133,469,83.60%,11349,2551,
PINEDA,2129,470,5.50%,806,38999,
TSAO,2121,471,93.90%,12573,2259,
NAKAGAWA,2117,472,86.40%,11726,2449,
LAL,2116,473,73.80%,10294,2868,
HSIAO,2116,473,95.80%,12799,2208,
DELOSSANTOS,2113,475,15.30%,2409,13802,
PAIK,2108,476,86.00%,11722,2450,
DELOSREYES,2104,477,56.60%,8212,3716,
NELSON,2102,478,0.50%,40,412236,
SAELEE,2094,479,93.10%,12624,2250,
SISON,2092,480,78.20%,10920,2674,
SINHA,2083,481,88.30%,12122,2360,
SARMIENTO,2068,482,23.00%,3630,8986,
JACKSON,2065,483,0.30%,18,666125,
ROMERO,2061,484,1.30%,154,153772,
MIRZA,2054,485,63.50%,9267,3234,
PERALTA,2046,486,8.30%,1305,24713,
YAMASHITA,2043,487,83.90%,11781,2435,
KUANG,2036,488,98.30%,13473,2071,
CABRERA,2035,489,3.60%,524,57171,
KANESHIRO,2031,490,84.20%,11879,2413,
CONCEPCION,2029,491,22.00%,3536,9222,
ABE,2027,492,67.60%,9930,2998,
MANALO,2027,492,82.30%,11677,2462,
MO,2027,492,85.90%,12112,2361,
JI,2022,495,96.30%,13311,2100,
JO,2020,496,80.30%,11476,2517,
SETO,2012,497,79.70%,11444,2526,
PANDYA,2011,498,92.30%,12936,2178,
MORI,1997,499,51.30%,7895,3890,
HAHN,1994,500,5.20%,822,38354,
ANG,1977,501,77.20%,11317,2562,
CHACKO,1972,502,84.00%,12168,2347,
JEON,1956,503,92.00%,13175,2126,
MANN,1953,504,2.40%,349,81022,
FUJII,1943,505,84.40%,12377,2302,
ALVAREZ,1941,506,1.10%,132,168817,
PAREKH,1941,506,91.20%,13165,2129,
CHANDRA,1939,508,79.90%,11818,2428,
MOK,1932,509,90.50%,13137,2134,
OKAMOTO,1931,510,79.30%,11788,2434,
BHATTI,1931,510,80.30%,11917,2406,
KAPOOR,1929,512,85.60%,12605,2253,
SHAW,1924,513,1.20%,150,155172,
KULKARNI,1923,514,92.30%,13407,2083,
JOO,1918,515,88.20%,12945,2174,
MAH,1912,516,74.90%,11346,2553,
LOU,1910,517,78.20%,11758,2441,
QIU,1904,518,98.40%,14236,1934,
ALLEN,1900,519,0.40%,32,463368,
JAMES,1889,520,0.80%,80,233224,
CHAE,1883,521,94.10%,13848,2002,
KRISHNAN,1879,522,91.80%,13604,2047,
VYAS,1874,523,91.10%,13540,2058,
REN,1873,524,80.30%,12241,2333,
AKHTAR,1872,525,76.60%,11734,2445,
SAKAI,1870,526,81.20%,12373,2303,
SAEPHAN,1867,527,92.50%,13759,2019,
ROBINSON,1861,528,0.40%,27,503028,
BAKER,1860,529,0.40%,38,413351,
ADAMS,1859,530,0.50%,39,413086,
SHAO,1844,531,95.10%,14201,1939,
BANH,1843,532,92.60%,13907,1991,
PAI,1840,533,86.80%,13213,2119,
LIEN,1835,534,27.70%,4860,6630,
GHOSH,1835,534,88.30%,13440,2077,
ONO,1832,536,82.60%,12767,2218,
ABAD,1830,537,38.20%,6523,4795,
JOE,1815,538,21.70%,3891,8382,
XIA,1810,539,98.00%,14745,1847,
MIYAMOTO,1809,540,82.30%,12841,2197,
BAEK,1808,541,95.90%,14498,1885,
ACOSTA,1805,542,2.40%,377,76477,
SALAZAR,1804,543,1.60%,240,113468,
TRANG,1803,544,95.00%,14432,1898,
DAM,1797,545,69.90%,11287,2570,
VALENCIA,1791,546,3.60%,616,50026,
IYER,1790,547,92.40%,14212,1937,
NAKANO,1788,548,84.20%,13187,2124,
CHOUDHURY,1787,549,83.20%,13067,2149,
SAETERN,1787,549,92.80%,14273,1926,
ZOU,1785,551,96.90%,14783,1842,
HUH,1773,552,95.00%,14615,1867,
RUIZ,1772,553,1.00%,129,175429,
MATSUDA,1771,554,83.30%,13175,2126,
PHILIP,1764,555,38.50%,6778,4584,
SAINI,1762,556,87.80%,13825,2006,
WRIGHT,1761,557,0.40%,34,440367,
ALEXANDER,1760,558,0.90%,111,193443,
WALKER,1755,559,0.40%,28,501307,
TRINIDAD,1752,560,19.00%,3533,9228,
SOHN,1750,561,43.20%,7574,4048,
MENG,1741,562,45.40%,7987,3837,
LAN,1740,563,76.90%,12563,2262,
SHU,1737,564,91.80%,14467,1892,
BAIG,1734,565,76.80%,12573,2259,
HILL,1729,566,0.40%,41,411770,
HAQUE,1729,566,83.20%,13440,2077,
RASHID,1726,568,40.10%,7152,4309,
TIEU,1726,568,96.60%,15146,1786,
SUBRAMANIAN,1725,570,94.80%,14920,1820,
SCOTT,1722,571,0.40%,36,420091,
ALCANTARA,1722,571,21.20%,4017,8112,
RAI,1722,571,81.80%,13290,2106,
ROBERTS,1721,574,0.50%,45,366215,
LEGASPI,1709,575,67.70%,11449,2524,
PHU,1706,576,95.80%,15187,1781,
GUZMAN,1705,577,1.40%,230,118390,
BYUN,1700,578,96.40%,15293,1764,
PADILLA,1693,579,2.10%,345,81805,
MALHOTRA,1693,579,87.50%,14226,1935,
TIEN,1693,579,88.50%,14349,1914,
ANAND,1686,582,86.10%,14101,1958,
BAINS,1684,583,66.50%,11405,2534,
KARIM,1682,584,43.70%,7966,3853,
ZHEN,1673,585,97.70%,15661,1713,
SAMSON,1670,586,16.60%,3265,10053,
MAEDA,1670,586,74.40%,12647,2245,
OGAWA,1669,588,83.30%,13838,2004,
SENG,1664,589,46.40%,8457,3588,
HYUN,1662,590,92.50%,15071,1796,
GALANG,1661,591,88.20%,14514,1883,
